<<<<<<< HEAD
name,latitude,longitude
Ukkadam Spare Point 1,10.95419,76.924023
RS Spare Garage 2,11.03535,76.946418
Avinashi Spare Center 3,11.055793,77.119465
RS Spare Garage 4,11.00793,76.917893
Coimbatore Spare Clinic 5,11.038738,76.907302
Avinashi Spare Zone 6,11.071938,77.064293
RS Spare Works 7,11.005823,76.909819
Tiruppur Spare Hub 8,11.152678,77.321083
Coimbatore Spare Point 9,11.062983,76.963574
Tiruppur Spare Fix 10,11.132003,77.313653
Ukkadam Spare Hub 11,10.975996,76.973942
Peelamedu Spare Garage 12,11.052566,76.969956
RS Spare Hub 13,10.982182,76.918076
Avinashi Spare Zone 14,11.082541,77.025323
Tiruppur Spare Fix 15,11.075332,77.362926
Gandhipuram Spare Garage 16,11.031348,76.964056
Coimbatore Spare Works 17,10.973423,76.993676
RS Spare Mechanics 18,10.962542,76.960038
Tiruppur Spare Clinic 19,11.147581,77.375395
Peelamedu Spare Clinic 20,11.031266,77.012666
Erode Spare Zone 21,11.35681,77.680379
RS Spare Fix 22,10.999935,76.943568
Tiruppur Spare Fix 23,11.115019,77.385322
Erode Spare Zone 24,11.35667,77.740594
Erode Spare Garage 25,11.347655,77.699955
RS Spare Mechanics 26,10.983226,76.942038
Pollachi Spare Garage 27,10.641425,77.009914
Erode Spare Mechanics 28,11.380934,77.718288
Mettupalayam Spare Works 29,11.316161,76.952419
Gandhipuram Spare Point 30,11.048399,76.928711
Erode Spare Point 31,11.366749,77.76662
Peelamedu Spare Zone 32,11.068165,76.999795
Erode Spare Zone 33,11.37804,77.760165
Erode Spare Zone 34,11.363165,77.763727
Tiruppur Spare Garage 35,11.096516,77.325206
Erode Spare Mechanics 36,11.307948,77.685294
Pollachi Spare Works 37,10.633022,77.05237
Tiruppur Spare Works 38,11.082238,77.353578
Erode Spare Fix 39,11.296575,77.690345
Tiruppur Spare Point 40,11.149497,77.321383
Coimbatore Spare Garage 41,10.974049,76.935704
Pollachi Spare Mechanics 42,10.701525,77.056248
Gandhipuram Spare Point 43,10.976926,76.986507
RS Spare Care 44,10.989364,76.993117
Pollachi Spare Point 45,10.698635,77.018227
Pollachi Spare Works 46,10.673382,76.971595
Erode Spare Care 47,11.301791,77.6854
